Linux 5.4.0-47-generic (slave2) 	18/09/2020 	_x86_64_	(2 CPU)

02:05:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:06:22     all    3,96    0,00    4,95    3,96    0,00   10,40    0,00    0,00    0,00   76,73
02:06:23     all    4,00    0,00    3,50    1,50    0,00   11,00    0,00    0,00    0,00   80,00
02:06:24     all    2,49    0,00    3,48    0,00    0,00   10,95    0,00    0,00    0,00   83,08
02:06:25     all    4,04    0,00    3,03    1,01    0,00    9,09    0,00    0,00    0,00   82,83
02:06:26     all    3,00    0,00    2,50    0,00    0,00   10,00    0,00    0,00    0,00   84,50
02:06:27     all    2,99    0,00    4,48    0,00    0,00   10,95    0,00    0,00    0,00   81,59
02:06:28     all    4,10    0,00    4,62   21,54    0,00    9,23    0,00    0,00    0,00   60,51
02:06:29     all    3,63    0,00    4,66    2,07    0,00    9,33    0,00    0,00    0,00   80,31
02:06:30     all    2,07    0,00    4,15    1,04    0,00   10,36    0,00    0,00    0,00   82,38
02:06:31     all    5,08    0,00    3,55    0,00    0,00   12,69    0,00    0,00    0,00   78,68
02:06:32     all    2,54    0,00    4,06    0,00    0,00   13,20    0,00    0,00    0,00   80,20
02:06:33     all    4,59    0,00    4,59    0,51    0,00   11,73    0,00    0,00    0,00   78,57
02:06:34     all    2,51    0,00    4,02    0,00    0,00   13,07    0,00    0,00    0,00   80,40
02:06:35     all    3,52    0,00    5,03    1,01    0,00   11,56    0,00    0,00    0,00   78,89
02:06:36     all    2,94    0,00    3,92    0,00    0,00   15,69    0,00    0,00    0,00   77,45
02:06:37     all    3,05    0,00    4,06    0,00    0,00   12,18    0,00    0,00    0,00   80,71
02:06:38     all    3,43    0,00    4,41    0,00    0,00   15,69    0,00    0,00    0,00   76,47
02:06:39     all    3,61    0,00    5,67    4,12    0,00    9,28    0,00    0,00    0,00   77,32
02:06:40     all    4,43    0,00    2,96    0,49    0,00   11,82    0,00    0,00    0,00   80,30
02:06:41     all    2,97    0,00    5,45    0,00    0,00   10,89    0,00    0,00    0,00   80,69
02:06:42     all    2,03    0,00    3,05    0,00    0,00   10,15    0,00    0,00    0,00   84,77
02:06:43     all    4,57    0,00    6,09    0,00    0,00   15,23    0,00    0,00    0,00   74,11
02:06:44     all    4,35    0,00    4,35    0,00    0,00   19,81    0,00    0,00    0,00   71,50
02:06:45     all    6,93    0,00    6,44    0,50    0,00   15,84    0,00    0,00    0,00   70,30
02:06:46     all    3,68    0,00    5,79    0,00    0,00   14,21    0,00    0,00    0,00   76,32
02:06:47     all    3,90    0,00    3,41    0,00    0,00   19,51    0,00    0,00    0,00   73,17
02:06:48     all    3,00    0,00    4,50    4,50    0,00   12,50    0,00    0,00    0,00   75,50
02:06:49     all    6,44    0,00    5,45    0,00    0,00   15,35    0,00    0,00    0,00   72,77
02:06:50     all    5,88    0,00    5,39    1,47    0,00   14,22    0,00    0,00    0,00   73,04
02:06:51     all    3,94    0,00    4,93    0,00    0,00   12,32    0,00    0,00    0,00   78,82
02:06:52     all    2,56    0,00    2,05    0,00    0,00   10,26    0,00    0,00    0,00   85,13
02:06:53     all    3,48    0,00    4,98    0,00    0,00    8,96    0,00    0,00    0,00   82,59
02:06:54     all    2,94    0,00    5,88    0,00    0,00    9,80    0,00    0,00    0,00   81,37
02:06:55     all    3,06    0,00    3,06    1,02    0,00   11,22    0,00    0,00    0,00   81,63
02:06:56     all    2,06    0,00    3,09    0,00    0,00   12,37    0,00    0,00    0,00   82,47
02:06:57     all    4,52    0,00    4,02    0,00    0,00   13,07    0,00    0,00    0,00   78,39
02:06:58     all    4,93    0,00    5,42    7,39    0,00   11,82    0,00    0,00    0,00   70,44
02:06:59     all    4,93    0,00    3,94    0,00    0,00   11,82    0,00    0,00    0,00   79,31
02:07:00     all    3,52    0,00    3,02    1,01    0,00    8,54    0,00    0,00    0,00   83,92
