Linux 5.4.0-47-generic (slave3) 	18/09/2020 	_x86_64_	(2 CPU)

02:05:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:05:17     all   36,04    0,00   59,90    0,00    0,00    4,06    0,00    0,00    0,00    0,00
02:05:18     all   26,00    0,00   69,00    0,00    0,00    5,00    0,00    0,00    0,00    0,00
02:05:19     all   29,50    0,00   66,50    0,00    0,00    4,00    0,00    0,00    0,00    0,00
02:05:20     all   31,34    0,00   65,17    0,00    0,00    3,48    0,00    0,00    0,00    0,00
02:05:21     all   29,00    0,00   65,00    0,00    0,00    6,00    0,00    0,00    0,00    0,00
02:05:22     all   32,50    0,00   63,00    0,00    0,00    4,50    0,00    0,00    0,00    0,00
02:05:23     all   31,00    0,00   65,00    0,00    0,00    4,00    0,00    0,00    0,00    0,00
02:05:24     all   30,50    0,00   65,50    0,00    0,00    4,00    0,00    0,00    0,00    0,00
02:05:25     all   38,50    0,00   58,00    0,00    0,00    3,50    0,00    0,00    0,00    0,00
02:05:26     all   34,67    0,00   61,31    0,00    0,00    4,02    0,00    0,00    0,00    0,00
02:05:27     all   37,19    0,00   60,80    0,00    0,00    2,01    0,00    0,00    0,00    0,00
02:05:28     all   32,16    0,00   64,32    0,00    0,00    3,52    0,00    0,00    0,00    0,00
02:05:29     all   27,50    0,00   69,00    0,00    0,00    3,50    0,00    0,00    0,00    0,00
02:05:30     all   25,37    0,00   70,65    0,00    0,00    3,98    0,00    0,00    0,00    0,00
02:05:31     all   24,12    0,00   70,35    0,00    0,00    5,53    0,00    0,00    0,00    0,00
02:05:32     all   27,00    0,00   69,50    0,00    0,00    3,50    0,00    0,00    0,00    0,00
02:05:33     all   28,14    0,00   67,84    0,00    0,00    4,02    0,00    0,00    0,00    0,00
02:05:34     all   31,68    0,00   64,36    0,00    0,00    3,96    0,00    0,00    0,00    0,00
02:05:35     all   30,15    0,00   66,33    0,00    0,00    3,52    0,00    0,00    0,00    0,00
02:05:36     all   25,50    0,00   68,00    0,00    0,00    6,50    0,00    0,00    0,00    0,00
02:05:37     all   21,89    0,00   72,64    0,00    0,00    5,47    0,00    0,00    0,00    0,00
02:05:38     all   25,76    0,00   70,71    0,00    0,00    3,54    0,00    0,00    0,00    0,00
02:05:39     all   26,00    0,00   70,00    0,00    0,00    4,00    0,00    0,00    0,00    0,00
02:05:40     all   24,38    0,00   71,64    0,00    0,00    3,98    0,00    0,00    0,00    0,00
02:05:41     all   25,00    0,00   70,50    0,00    0,00    4,50    0,00    0,00    0,00    0,00
02:05:42     all   23,50    0,00   70,00    0,00    0,00    6,50    0,00    0,00    0,00    0,00
02:05:43     all   28,00    0,00   68,50    0,00    0,00    3,50    0,00    0,00    0,00    0,00
02:05:44     all   24,62    0,00   72,36    0,00    0,00    3,02    0,00    0,00    0,00    0,00
02:05:45     all   28,86    0,00   67,66    0,00    0,00    3,48    0,00    0,00    0,00    0,00
02:05:46     all   26,50    0,00   70,00    0,00    0,00    3,50    0,00    0,00    0,00    0,00
02:05:47     all   28,21    0,00   70,26    0,00    0,00    1,54    0,00    0,00    0,00    0,00
02:05:48     all   34,00    0,00   61,50    0,00    0,00    4,50    0,00    0,00    0,00    0,00
02:05:49     all   28,50    0,00   66,50    0,00    0,00    5,00    0,00    0,00    0,00    0,00
02:05:50     all   32,00    0,00   65,50    0,00    0,00    2,50    0,00    0,00    0,00    0,00
02:05:51     all   30,50    0,00   66,00    0,00    0,00    3,50    0,00    0,00    0,00    0,00
02:05:52     all   28,50    0,00   66,00    0,00    0,00    5,50    0,00    0,00    0,00    0,00
02:05:53     all   27,00    0,00   69,00    0,00    0,00    4,00    0,00    0,00    0,00    0,00
02:05:54     all   24,50    0,00   71,50    0,00    0,00    4,00    0,00    0,00    0,00    0,00
02:05:55     all   30,50    0,00   65,50    0,00    0,00    4,00    0,00    0,00    0,00    0,00
02:05:56     all   33,16    0,00   62,76    0,00    0,00    4,08    0,00    0,00    0,00    0,00
02:05:57     all   28,14    0,00   67,84    0,00    0,00    4,02    0,00    0,00    0,00    0,00
02:05:58     all   31,34    0,00   65,17    0,00    0,00    3,48    0,00    0,00    0,00    0,00
02:05:59     all   26,00    0,00   69,50    0,00    0,00    4,50    0,00    0,00    0,00    0,00
02:06:00     all   22,61    0,00   74,37    0,00    0,00    3,02    0,00    0,00    0,00    0,00
02:06:01     all   26,63    0,00   67,34    0,00    0,00    6,03    0,00    0,00    0,00    0,00
02:06:02     all   24,75    0,00   70,71    0,00    0,00    4,55    0,00    0,00    0,00    0,00
02:06:03     all   29,00    0,00   66,00    0,00    0,00    5,00    0,00    0,00    0,00    0,00
02:06:05     all   25,00    0,00   70,41    0,00    0,00    4,59    0,00    0,00    0,00    0,00
02:06:06     all   27,50    0,00   69,50    0,00    0,00    3,00    0,00    0,00    0,00    0,00
02:06:07     all   28,50    0,00   67,50    0,00    0,00    4,00    0,00    0,00    0,00    0,00
02:06:08     all   29,00    0,00   68,00    0,00    0,00    3,00    0,00    0,00    0,00    0,00
02:06:09     all   24,00    0,00   72,00    0,00    0,00    4,00    0,00    0,00    0,00    0,00
02:06:10     all   23,88    0,00   71,64    0,00    0,00    4,48    0,00    0,00    0,00    0,00
02:06:11     all   27,92    0,00   66,50    0,00    0,00    5,58    0,00    0,00    0,00    0,00
02:06:12     all   23,12    0,00   72,86    0,00    0,00    4,02    0,00    0,00    0,00    0,00
