Linux 5.4.0-47-generic (slave1) 	18/09/2020 	_x86_64_	(2 CPU)

02:05:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:05:13     all    9,38    0,00    8,85   14,06    0,00   11,46    0,00    0,00    0,00   56,25
02:05:14     all    6,57    0,00    5,05    3,03    0,00   11,62    0,00    0,00    0,00   73,74
02:05:15     all    3,11    0,00    5,70    0,00    0,00   11,40    0,00    0,00    0,00   79,79
02:05:16     all    5,10    0,00    5,61    0,00    0,00   13,27    0,00    0,00    0,00   76,02
02:05:17     all    4,10    0,00    8,72    0,00    0,00   15,38    0,00    0,00    0,00   71,79
02:05:18     all    5,61    0,00    5,10    0,00    0,00   14,29    0,00    0,00    0,00   75,00
02:05:19     all    8,16    0,00    4,59    1,02    0,00   16,33    0,00    0,00    0,00   69,90
02:05:20     all    6,35    0,00    8,99    0,00    0,00   14,29    0,00    0,00    0,00   70,37
02:05:21     all    3,09    0,00    5,15    0,00    0,00   13,92    0,00    0,00    0,00   77,84
02:05:22     all    3,63    0,00    5,18    0,00    0,00   15,54    0,00    0,00    0,00   75,65
02:05:23     all    4,71    0,00    4,19    0,00    0,00   15,18    0,00    0,00    0,00   75,92
02:05:24     all    4,59    0,00    5,10    0,51    0,00   14,29    0,00    0,00    0,00   75,51
02:05:25     all    5,38    0,00    4,30    0,00    0,00   11,29    0,00    0,00    0,00   79,03
02:05:26     all    7,45    0,00    7,98    0,00    0,00   12,77    0,00    0,00    0,00   71,81
02:05:27     all    3,12    0,00    5,73    0,52    0,00   16,15    0,00    0,00    0,00   74,48
02:05:28     all    5,03    0,00    6,03    0,00    0,00   12,56    0,00    0,00    0,00   76,38
02:05:29     all    3,06    0,00    5,61    0,51    0,00   10,71    0,00    0,00    0,00   80,10
02:05:30     all    6,03    0,00    6,53    0,00    0,00   11,56    0,00    0,00    0,00   75,88
02:05:31     all    3,74    0,00    3,74    0,00    0,00   11,23    0,00    0,00    0,00   81,28
02:05:32     all    4,55    0,00    7,07    0,00    0,00   14,14    0,00    0,00    0,00   74,24
02:05:33     all    6,15    0,00    5,64    0,00    0,00   12,82    0,00    0,00    0,00   75,38
02:05:34     all    4,76    0,00    7,41    1,06    0,00   15,87    0,00    0,00    0,00   70,90
02:05:35     all    5,73    0,00    7,81    0,00    0,00   11,46    0,00    0,00    0,00   75,00
02:05:36     all    5,05    0,00    9,09    0,00    0,00   16,16    0,00    0,00    0,00   69,70
02:05:37     all    6,28    0,00    5,76    0,00    0,00   16,23    0,00    0,00    0,00   71,73
02:05:38     all    5,50    0,00    7,00    0,00    0,00   13,50    0,00    0,00    0,00   74,00
02:05:39     all    5,56    0,00    5,05    0,51    0,00   15,66    0,00    0,00    0,00   73,23
02:05:40     all    4,32    0,00    5,41    0,00    0,00   14,05    0,00    0,00    0,00   76,22
02:05:41     all    7,33    0,00    6,81    0,00    0,00   14,14    0,00    0,00    0,00   71,73
02:05:42     all    6,22    0,00    5,70    0,00    0,00   14,51    0,00    0,00    0,00   73,58
02:05:43     all    5,15    0,00    6,19    3,09    0,00   12,89    0,00    0,00    0,00   72,68
