Linux 5.4.0-47-generic (slave2) 	17/09/2020 	_x86_64_	(2 CPU)

23:41:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:42:00     all   10,00    0,00    7,00   10,50    0,00   12,00    0,00    0,00    0,00   60,50
23:42:01     all    8,76    0,00    4,12    2,06    0,00    7,73    0,00    0,00    0,00   77,32
23:42:02     all    2,00    0,00    4,50    0,00    0,00   10,50    0,00    0,00    0,00   83,00
23:42:03     all    3,54    0,00    3,54    0,51    0,00   12,12    0,00    0,00    0,00   80,30
23:42:04     all    4,62    0,00    5,64    0,00    0,00   11,28    0,00    0,00    0,00   78,46
23:42:05     all    5,61    0,00    6,63    1,53    0,00    9,69    0,00    0,00    0,00   76,53
23:42:06     all    3,02    0,00    5,53    0,00    0,00   15,58    0,00    0,00    0,00   75,88
23:42:07     all    5,91    0,00    4,43    0,00    0,00   14,78    0,00    0,00    0,00   74,88
23:42:08     all    3,68    0,00    4,21    0,53    0,00   11,58    0,00    0,00    0,00   80,00
23:42:09     all    5,58    0,00    4,57    0,00    0,00   12,18    0,00    0,00    0,00   77,66
23:42:10     all    3,03    0,00    3,54    0,51    0,00   12,63    0,00    0,00    0,00   80,30
23:42:11     all    4,04    0,00    6,57    1,52    0,00    9,60    0,00    0,00    0,00   78,28
23:42:12     all    5,08    0,00    3,05    0,00    0,00    9,64    0,00    0,00    0,00   82,23
23:42:13     all    3,06    0,00    5,61    0,00    0,00   11,73    0,00    0,00    0,00   79,59
23:42:14     all    7,14    0,00    4,08    0,00    0,00   15,31    0,00    0,00    0,00   73,47
23:42:15     all    4,26    0,00    4,26    1,06    0,00   11,17    0,00    0,00    0,00   79,26
23:42:16     all    3,52    0,00    3,02    0,00    0,00   13,57    0,00    0,00    0,00   79,90
23:42:17     all   27,55    0,00    4,59    0,00    0,00   16,84    0,00    0,00    0,00   51,02
23:42:18     all    1,99    0,00    3,98    0,00    0,00   13,43    0,00    0,00    0,00   80,60
23:42:19     all    4,57    0,00    4,57    0,00    0,00    9,14    0,00    0,00    0,00   81,73
23:42:20     all    2,51    0,00    3,52    1,01    0,00   11,56    0,00    0,00    0,00   81,41
23:42:21     all    4,64    0,00    4,12    0,00    0,00   11,86    0,00    0,00    0,00   79,38
23:42:22     all    6,35    0,00    5,29    0,00    0,00    7,94    0,00    0,00    0,00   80,42
23:42:23     all    6,19    0,00    2,06    0,00    0,00    8,25    0,00    0,00    0,00   83,51
23:42:24     all    3,05    0,00    3,05    0,00    0,00    8,12    0,00    0,00    0,00   85,79
23:42:25     all    4,62    0,00    2,56    3,59    0,00    8,72    0,00    0,00    0,00   80,51
23:42:26     all    2,54    0,00    4,06    0,00    0,00    8,63    0,00    0,00    0,00   84,77
23:42:27     all    4,15    0,00    3,11    0,00    0,00    8,81    0,00    0,00    0,00   83,94
23:42:28     all    2,58    0,00    1,55    0,52    0,00    9,28    0,00    0,00    0,00   86,08
23:42:29     all    3,63    0,00    3,63    0,00    0,00    8,29    0,00    0,00    0,00   84,46
23:42:30     all    3,06    0,00    2,55    0,51    0,00   10,71    0,00    0,00    0,00   83,16
23:42:31     all    2,63    0,00    4,21    2,11    0,00    9,47    0,00    0,00    0,00   81,58
23:42:32     all    5,53    0,00    3,52    0,00    0,00   12,56    0,00    0,00    0,00   78,39
23:42:33     all    3,06    0,00    3,06    0,00    0,00   12,24    0,00    0,00    0,00   81,63
23:42:34     all    2,97    0,00    2,97    0,00    0,00   11,88    0,00    0,00    0,00   82,18
23:42:35     all    6,63    0,00    3,57    1,53    0,00   10,20    0,00    0,00    0,00   78,06
23:42:36     all    4,55    0,00    5,05    0,00    0,00    9,09    0,00    0,00    0,00   81,31
23:42:37     all    9,18    0,00    7,14    0,00    0,00    9,18    0,00    0,00    0,00   74,49
23:42:38     all    5,05    0,00    2,53    0,00    0,00   11,11    0,00    0,00    0,00   81,31
23:42:39     all    7,11    0,00    5,08    0,00    0,00   10,15    0,00    0,00    0,00   77,66
23:42:40     all    3,12    0,00    2,08    0,52    0,00   13,54    0,00    0,00    0,00   80,73
23:42:41     all    4,66    0,00    3,63    0,00    0,00    9,33    0,00    0,00    0,00   82,38
23:42:42     all    6,95    0,00    7,49    0,00    0,00   10,70    0,00    0,00    0,00   74,87
23:42:43     all    7,41    0,00    5,82    0,00    0,00   11,11    0,00    0,00    0,00   75,66
23:42:44     all    4,23    0,00    4,23    0,00    0,00    7,94    0,00    0,00    0,00   83,60
23:42:45     all    2,59    0,00    2,59    0,52    0,00    8,29    0,00    0,00    0,00   86,01
23:42:46     all    2,54    0,00    3,05    0,00    0,00   10,15    0,00    0,00    0,00   84,26
23:42:47     all    4,57    0,00    2,03    0,00    0,00    9,14    0,00    0,00    0,00   84,26
23:42:48     all    1,59    0,00    1,59    0,00    0,00    7,94    0,00    0,00    0,00   88,89
23:42:49     all    3,08    0,00    3,08    0,00    0,00   10,77    0,00    0,00    0,00   83,08
23:42:50     all    4,04    0,00    4,04    0,51    0,00   10,10    0,00    0,00    0,00   81,31
23:42:51     all    4,59    0,00    6,12    1,02    0,00   12,24    0,00    0,00    0,00   76,02
23:42:52     all    4,93    0,00    1,48    0,00    0,00    9,85    0,00    0,00    0,00   83,74
23:42:53     all    3,96    0,00    4,46    0,50    0,00   10,40    0,00    0,00    0,00   80,69
23:42:54     all    6,97    0,00    1,99    0,00    0,00   11,44    0,00    0,00    0,00   79,60
23:42:55     all    2,62    0,00    4,19    1,57    0,00    7,33    0,00    0,00    0,00   84,29
23:42:56     all    3,00    0,00    3,50    2,00    0,00   10,00    0,00    0,00    0,00   81,50
23:42:57     all    3,61    0,00    3,61    0,00    0,00    9,28    0,00    0,00    0,00   83,51
23:42:58     all    4,79    0,00    2,13    0,00    0,00   12,77    0,00    0,00    0,00   80,32
23:42:59     all    4,06    0,00    3,55    0,00    0,00   12,18    0,00    0,00    0,00   80,20
23:43:00     all    2,07    0,00    2,59    1,55    0,00   11,40    0,00    0,00    0,00   82,38
23:43:01     all    4,62    0,00    6,15    0,00    0,00    7,18    0,00    0,00    0,00   82,05
23:43:02     all    2,02    0,00    3,03    0,00    0,00    8,08    0,00    0,00    0,00   86,87
23:43:03     all    3,19    0,00    3,19    0,00    0,00    6,91    0,00    0,00    0,00   86,70
23:43:04     all    2,54    0,00    5,58    0,00    0,00    7,61    0,00    0,00    0,00   84,26
23:43:05     all    3,61    0,00    3,61    1,03    0,00    9,28    0,00    0,00    0,00   82,47
23:43:06     all    3,45    0,00    2,96    0,00    0,00   10,84    0,00    0,00    0,00   82,76
23:43:07     all    3,55    0,00    2,03    0,00    0,00    9,64    0,00    0,00    0,00   84,77
23:43:08     all    2,51    0,00    4,02    0,00    0,00    8,04    0,00    0,00    0,00   85,43
23:43:09     all    2,55    0,00    3,06    0,00    0,00   10,71    0,00    0,00    0,00   83,67
23:43:10     all    2,05    0,00    2,05    0,51    0,00    9,23    0,00    0,00    0,00   86,15
23:43:11     all    4,59    0,00    6,12    0,51    0,00    7,65    0,00    0,00    0,00   81,12
23:43:12     all    1,05    0,00    2,09    0,00    0,00    8,90    0,00    0,00    0,00   87,96
