Linux 5.4.0-47-generic (slave1) 	17/09/2020 	_x86_64_	(2 CPU)

23:41:41     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
23:41:42     all   12,12    0,00    9,60    1,52    0,00   20,71    0,00    0,00    0,00   56,06
23:41:43     all    7,58    0,00    9,60    8,59    0,00   15,15    0,00    0,00    0,00   59,09
23:41:44     all    5,39    0,00    4,90    0,49    0,00   14,22    0,00    0,00    0,00   75,00
23:41:45     all    5,42    0,00    5,91    1,48    0,00   14,78    0,00    0,00    0,00   72,41
23:41:46     all    5,18    0,00    6,22    0,00    0,00   13,47    0,00    0,00    0,00   75,13
23:41:47     all    4,55    0,00    7,07    0,51    0,00   15,66    0,00    0,00    0,00   72,22
23:41:48     all    7,80    0,00    8,29    0,00    0,00   18,05    0,00    0,00    0,00   65,85
23:41:49     all    6,67    0,00   11,43    0,00    0,00   21,43    0,00    0,00    0,00   60,48
23:41:50     all    9,05    0,00    8,54    0,50    0,00   17,59    0,00    0,00    0,00   64,32
23:41:51     all    7,62    0,00    6,67    0,00    0,00   26,19    0,00    0,00    0,00   59,52
23:41:52     all    3,50    0,00    8,00    0,00    0,00   15,50    0,00    0,00    0,00   73,00
23:41:53     all    5,45    0,00    6,44    0,00    0,00   14,36    0,00    0,00    0,00   73,76
23:41:54     all    3,94    0,00    6,90    4,43    0,00   14,78    0,00    0,00    0,00   69,95
23:41:55     all    4,17    0,00    7,29   19,27    0,00   10,94    0,00    0,00    0,00   58,33
23:41:56     all    4,06    0,00    6,60    0,00    0,00   14,21    0,00    0,00    0,00   75,13
23:41:57     all    7,88    0,00    9,36    0,00    0,00   19,70    0,00    0,00    0,00   63,05
23:41:58     all    5,50    0,00    6,50    0,00    0,00   16,00    0,00    0,00    0,00   72,00
23:41:59     all    5,94    0,00    7,43    0,00    0,00   12,38    0,00    0,00    0,00   74,26
23:42:00     all    4,12    0,00    6,70    1,03    0,00    8,76    0,00    0,00    0,00   79,38
23:42:01     all    4,79    0,00    4,26    0,00    0,00    9,04    0,00    0,00    0,00   81,91
23:42:02     all    3,54    0,00    7,58    0,00    0,00    9,09    0,00    0,00    0,00   79,80
23:42:03     all    3,65    0,00    5,21    0,00    0,00   10,94    0,00    0,00    0,00   80,21
23:42:04     all    4,52    0,00    9,05    0,50    0,00   14,07    0,00    0,00    0,00   71,86
23:42:05     all    7,46    0,00    6,97    1,00    0,00   15,92    0,00    0,00    0,00   68,66
23:42:06     all    6,19    0,00    7,22    0,00    0,00   13,92    0,00    0,00    0,00   72,68
23:42:07     all    8,54    0,00    6,03    0,00    0,00   14,07    0,00    0,00    0,00   71,36
23:42:08     all    3,47    0,00    5,45    0,00    0,00   19,31    0,00    0,00    0,00   71,78
23:42:09     all    4,88    0,00    8,29    0,49    0,00   17,56    0,00    0,00    0,00   68,78
23:42:10     all    5,88    0,00    9,31    0,00    0,00   13,73    0,00    0,00    0,00   71,08
23:42:11     all    3,54    0,00    4,04    0,00    0,00   14,65    0,00    0,00    0,00   77,78
23:42:12     all    4,81    0,00    6,25    0,00    0,00   13,94    0,00    0,00    0,00   75,00
23:42:13     all    6,97    0,00    6,97    0,00    0,00   15,92    0,00    0,00    0,00   70,15
23:42:14     all    7,14    0,00    8,16    0,51    0,00   15,31    0,00    0,00    0,00   68,88
23:42:15     all    4,52    0,00    6,03    0,50    0,00   17,09    0,00    0,00    0,00   71,86
23:42:16     all    6,25    0,00    6,73    0,00    0,00   16,35    0,00    0,00    0,00   70,67
23:42:17     all    3,47    0,00    7,43    0,00    0,00   16,83    0,00    0,00    0,00   72,28
23:42:18     all    4,46    0,00    4,95    0,50    0,00   17,33    0,00    0,00    0,00   72,77
23:42:19     all    7,54    0,00    6,03    0,50    0,00   12,06    0,00    0,00    0,00   73,87
23:42:20     all    4,95    0,00    3,96    0,00    0,00   12,87    0,00    0,00    0,00   78,22
23:42:21     all    4,88    0,00    7,80    0,00    0,00   15,12    0,00    0,00    0,00   72,20
23:42:22     all    3,57    0,00    4,08    0,00    0,00   14,29    0,00    0,00    0,00   78,06
23:42:23     all    3,45    0,00    6,90    0,99    0,00   12,32    0,00    0,00    0,00   76,35
23:42:24     all    4,83    0,00    4,83    0,48    0,00   12,56    0,00    0,00    0,00   77,29
23:42:25     all    3,00    0,00    5,50    6,00    0,00   13,50    0,00    0,00    0,00   72,00
23:42:26     all    4,95    0,00    4,95    3,47    0,00   11,88    0,00    0,00    0,00   74,75
23:42:27     all    4,90    0,00    4,90    0,00    0,00   13,73    0,00    0,00    0,00   76,47
23:42:28     all    3,38    0,00    5,31    0,48    0,00   14,49    0,00    0,00    0,00   76,33
23:42:29     all    4,50    0,00    4,50    0,50    0,00   13,50    0,00    0,00    0,00   77,00
23:42:30     all    4,81    0,00    8,17    0,00    0,00   14,42    0,00    0,00    0,00   72,60
23:42:31     all    5,15    0,00    6,70    0,00    0,00   11,86    0,00    0,00    0,00   76,29
23:42:32     all    4,17    0,00    4,69    0,00    0,00   11,46    0,00    0,00    0,00   79,69
23:42:33     all    5,45    0,00    4,46    0,00    0,00   16,83    0,00    0,00    0,00   73,27
23:42:34     all    4,02    0,00    6,53    0,50    0,00   11,06    0,00    0,00    0,00   77,89
23:42:35     all    5,47    0,00    4,48    0,00    0,00   12,94    0,00    0,00    0,00   77,11
23:42:36     all    4,55    0,00    7,07    0,51    0,00    9,09    0,00    0,00    0,00   78,79
23:42:37     all    5,05    0,00    4,55    0,00    0,00   13,13    0,00    0,00    0,00   77,27
23:42:38     all    4,59    0,00    3,57    0,00    0,00   11,22    0,00    0,00    0,00   80,61
23:42:39     all    4,15    0,00    5,70    0,00    0,00   11,92    0,00    0,00    0,00   78,24
23:42:40     all    7,96    0,00    5,47    0,00    0,00   12,44    0,00    0,00    0,00   74,13
23:42:41     all    5,08    0,00    4,57    0,00    0,00   13,71    0,00    0,00    0,00   76,65
23:42:42     all    4,15    0,00    6,22    0,00    0,00   20,73    0,00    0,00    0,00   68,91
23:42:43     all    5,80    0,00   11,11    0,97    0,00   18,36    0,00    0,00    0,00   63,77
23:42:44     all    3,48    0,00    3,98    0,50    0,00   11,94    0,00    0,00    0,00   80,10
23:42:45     all    3,86    0,00    5,80    0,00    0,00   12,08    0,00    0,00    0,00   78,26
23:42:46     all    3,50    0,00    3,50    0,00    0,00   13,00    0,00    0,00    0,00   80,00
23:42:47     all    4,06    0,00    4,57    0,00    0,00   11,17    0,00    0,00    0,00   80,20
23:42:48     all    3,92    0,00    4,41    0,00    0,00   12,75    0,00    0,00    0,00   78,92
23:42:49     all    3,86    0,00    6,28    0,48    0,00   16,43    0,00    0,00    0,00   72,95
23:42:50     all    3,50    0,00    5,50    0,00    0,00   13,00    0,00    0,00    0,00   78,00
23:42:51     all    7,73    0,00    7,73    0,00    0,00   17,87    0,00    0,00    0,00   66,67
23:42:52     all    3,38    0,00    5,31    0,00    0,00   12,56    0,00    0,00    0,00   78,74
23:42:53     all    5,53    0,00    4,52    1,01    0,00   10,55    0,00    0,00    0,00   78,39
23:42:54     all    3,45    0,00    5,42    0,99    0,00   12,81    0,00    0,00    0,00   77,34
23:42:55     all    4,95    0,00    3,47    0,00    0,00   12,87    0,00    0,00    0,00   78,71
23:42:56     all    4,31    0,00    4,78    8,13    0,00   15,31    0,00    0,00    0,00   67,46
23:42:57     all    4,31    0,00    7,66    0,00    0,00   14,35    0,00    0,00    0,00   73,68
23:42:58     all    5,80    0,00    7,25    0,00    0,00   18,36    0,00    0,00    0,00   68,60
23:42:59     all    5,88    0,00    8,33    0,49    0,00   14,22    0,00    0,00    0,00   71,08
23:43:00     all    5,61    0,00    6,54    0,00    0,00   15,89    0,00    0,00    0,00   71,96
23:43:01     all    7,00    0,00    4,00    0,00    0,00   12,50    0,00    0,00    0,00   76,50
23:43:02     all    4,52    0,00    4,52    0,00    0,00    9,05    0,00    0,00    0,00   81,91
23:43:03     all    5,94    0,00    7,43    0,00    0,00   10,40    0,00    0,00    0,00   76,24
23:43:04     all    1,93    0,00    3,38    0,97    0,00   17,87    0,00    0,00    0,00   75,85
23:43:05     all    4,98    0,00    6,47    0,00    0,00    9,95    0,00    0,00    0,00   78,61
23:43:06     all    3,86    0,00    4,83    0,00    0,00   14,01    0,00    0,00    0,00   77,29
23:43:07     all    4,78    0,00    5,26    0,00    0,00   12,92    0,00    0,00    0,00   77,03
23:43:08     all    2,49    0,00    3,98    0,00    0,00   12,44    0,00    0,00    0,00   81,09
23:43:09     all    7,96    0,00    5,47    2,49    0,00   11,44    0,00    0,00    0,00   72,64
23:43:10     all    3,00    0,00    3,00    0,50    0,00   13,00    0,00    0,00    0,00   80,50
23:43:11     all    3,48    0,00    5,97    0,00    0,00   11,94    0,00    0,00    0,00   78,61
23:43:12     all    4,43    0,00    3,94    0,00    0,00   11,82    0,00    0,00    0,00   79,80
23:43:13     all    4,83    0,00    4,83    0,00    0,00   13,53    0,00    0,00    0,00   76,81
23:43:14     all    2,97    0,00    4,46    0,50    0,00   13,37    0,00    0,00    0,00   78,71
23:43:15     all    7,43    0,00    4,46    1,98    0,00   12,38    0,00    0,00    0,00   73,76
23:43:16     all    3,47    0,00    3,96    0,00    0,00   14,85    0,00    0,00    0,00   77,72
23:43:17     all    3,45    0,00    5,42    0,00    0,00   16,26    0,00    0,00    0,00   74,88
23:43:18     all    3,94    0,00    6,40    0,00    0,00   14,78    0,00    0,00    0,00   74,88
23:43:19     all    5,31    0,00    3,38    0,48    0,00   18,84    0,00    0,00    0,00   71,98
23:43:20     all    5,88    0,00    8,33    0,00    0,00   10,78    0,00    0,00    0,00   75,00
23:43:21     all    5,77    0,00    7,21    0,00    0,00   21,15    0,00    0,00    0,00   65,87
23:43:22     all    5,63    0,00    5,63    0,00    0,00   23,94    0,00    0,00    0,00   64,79
23:43:23     all    8,02    0,00    8,96    0,00    0,00   24,06    0,00    0,00    0,00   58,96
23:43:24     all    4,83    0,00    7,25    0,00    0,00   25,60    0,00    0,00    0,00   62,32
23:43:25     all    6,80    0,00    9,22    0,00    0,00   19,42    0,00    0,00    0,00   64,56
23:43:26     all    5,77    0,00    8,17    0,00    0,00   20,67    0,00    0,00    0,00   65,38
23:43:27     all    6,76    0,00    9,66    6,76    0,00   20,77    0,00    0,00    0,00   56,04
23:43:28     all    6,00    0,00    7,50    4,50    0,00   19,50    0,00    0,00    0,00   62,50
23:43:29     all    6,44    0,00    9,41    0,50    0,00   21,29    0,00    0,00    0,00   62,38
23:43:30     all    7,32    0,00    7,32    0,00    0,00   14,63    0,00    0,00    0,00   70,73
23:43:31     all    5,88    0,00    5,88    1,96    0,00   18,14    0,00    0,00    0,00   68,14
23:43:32     all    6,16    0,00    7,11    0,00    0,00   20,85    0,00    0,00    0,00   65,88
23:43:33     all    5,77    0,00    7,69    0,00    0,00   16,83    0,00    0,00    0,00   69,71
23:43:34     all    3,88    0,00    5,83    0,00    0,00   18,45    0,00    0,00    0,00   71,84
23:43:35     all    6,86    0,00    6,86    0,00    0,00   19,12    0,00    0,00    0,00   67,16
23:43:36     all    3,90    0,00    4,39    0,00    0,00   17,56    0,00    0,00    0,00   74,15
23:43:37     all    4,39    0,00    6,83    0,00    0,00   12,68    0,00    0,00    0,00   76,10
23:43:38     all    4,46    0,00    5,94    0,00    0,00   13,86    0,00    0,00    0,00   75,74
23:43:39     all    5,03    0,00    7,54    0,00    0,00   14,07    0,00    0,00    0,00   73,37
23:43:40     all    4,72    0,00    8,96    0,00    0,00   20,28    0,00    0,00    0,00   66,04
23:43:41     all    4,35    0,00    7,25    0,48    0,00   16,43    0,00    0,00    0,00   71,50
23:43:42     all    3,85    0,00    3,37    0,00    0,00   17,31    0,00    0,00    0,00   75,48
23:43:43     all    4,55    0,00    5,56    0,00    0,00   11,11    0,00    0,00    0,00   78,79
23:43:44     all    1,99    0,00    4,48    0,50    0,00   13,43    0,00    0,00    0,00   79,60
23:43:45     all    4,00    0,00    4,50    0,00    0,00   10,00    0,00    0,00    0,00   81,50
23:43:46     all    5,80    0,00    7,73    0,00    0,00   15,94    0,00    0,00    0,00   70,53
23:43:47     all    5,50    0,00    4,00    0,00    0,00   18,50    0,00    0,00    0,00   72,00
23:43:48     all    7,66    0,00    5,26    0,00    0,00   26,79    0,00    0,00    0,00   60,29
23:43:49     all    6,60    0,00    7,55    1,42    0,00   24,53    0,00    0,00    0,00   59,91
23:43:50     all    6,47    0,00    8,46    1,00    0,00   20,90    0,00    0,00    0,00   63,18
23:43:51     all   13,00    0,00    9,50    0,00    0,00   18,50    0,00    0,00    0,00   59,00
23:43:52     all    4,98    0,00    6,97    0,00    0,00   16,42    0,00    0,00    0,00   71,64
23:43:53     all    4,85    0,00    7,28    0,00    0,00   13,59    0,00    0,00    0,00   74,27
23:43:54     all    3,52    0,00    6,53    1,01    0,00   14,07    0,00    0,00    0,00   74,87
23:43:55     all    4,00    0,00    5,50    0,00    0,00   14,50    0,00    0,00    0,00   76,00
23:43:56     all    5,97    0,00    7,46    0,50    0,00   13,93    0,00    0,00    0,00   72,14
23:43:57     all    3,96    0,00    6,93    0,00    0,00   13,37    0,00    0,00    0,00   75,74
23:43:58     all    4,04    0,00    5,56    8,08    0,00   13,13    0,00    0,00    0,00   69,19
23:43:59     all    5,00    0,00    5,00    1,00    0,00   10,50    0,00    0,00    0,00   78,50
23:44:00     all    5,45    0,00    3,47    0,00    0,00   12,38    0,00    0,00    0,00   78,71
23:44:01     all    5,21    0,00    5,21    1,56    0,00    7,81    0,00    0,00    0,00   80,21
23:44:02     all    4,93    0,00    4,43    0,00    0,00   10,34    0,00    0,00    0,00   80,30
23:44:03     all    3,54    0,00    6,06    0,00    0,00   10,10    0,00    0,00    0,00   80,30
23:44:04     all    2,97    0,00    4,95    0,00    0,00   11,88    0,00    0,00    0,00   80,20
23:44:05     all    3,47    0,00    5,94    0,50    0,00   13,37    0,00    0,00    0,00   76,73
23:44:06     all    1,94    0,00    5,83    0,00    0,00   16,50    0,00    0,00    0,00   75,73
23:44:07     all    7,28    0,00    6,31    0,00    0,00   18,93    0,00    0,00    0,00   67,48
23:44:08     all    4,55    0,00    5,56    0,00    0,00   11,62    0,00    0,00    0,00   78,28
23:44:09     all    3,83    0,00    4,78    0,48    0,00   17,22    0,00    0,00    0,00   73,68
23:44:10     all    4,48    0,00    6,47    0,00    0,00   14,43    0,00    0,00    0,00   74,63
23:44:11     all    4,69    0,00    6,25    0,00    0,00   14,58    0,00    0,00    0,00   74,48
23:44:12     all    6,00    0,00    8,00    0,00    0,00   13,00    0,00    0,00    0,00   73,00
23:44:13     all    6,09    0,00    5,08    1,02    0,00   13,20    0,00    0,00    0,00   74,62
23:44:14     all    4,98    0,00    8,46    0,50    0,00   12,94    0,00    0,00    0,00   73,13
23:44:15     all    7,39    0,00    7,39    0,00    0,00   23,15    0,00    0,00    0,00   62,07
23:44:16     all    5,29    0,00    6,73    0,00    0,00   16,35    0,00    0,00    0,00   71,63
23:44:17     all    3,90    0,00    6,34    0,00    0,00   15,12    0,00    0,00    0,00   74,63
23:44:18     all    5,45    0,00    6,44    0,00    0,00   12,87    0,00    0,00    0,00   75,25
23:44:19     all    5,85    0,00    4,88    0,49    0,00   15,61    0,00    0,00    0,00   73,17
23:44:20     all    3,81    0,00    5,71    0,00    0,00   15,24    0,00    0,00    0,00   75,24
23:44:21     all    4,35    0,00    3,86    0,00    0,00   14,49    0,00    0,00    0,00   77,29
23:44:22     all    3,48    0,00    4,98    0,00    0,00   10,95    0,00    0,00    0,00   80,60
23:44:23     all    6,50    0,00    8,00    0,00    0,00   17,00    0,00    0,00    0,00   68,50
23:44:24     all    5,56    0,00    9,26    0,46    0,00   22,69    0,00    0,00    0,00   62,04
23:44:25     all    4,88    0,00    6,83    0,00    0,00   20,98    0,00    0,00    0,00   67,32
23:44:26     all    4,69    0,00    7,98    0,00    0,00   17,37    0,00    0,00    0,00   69,95
23:44:27     all    3,48    0,00    5,47    0,00    0,00   14,93    0,00    0,00    0,00   76,12
23:44:28     all    5,42    0,00    5,42    0,49    0,00   14,78    0,00    0,00    0,00   73,89
23:44:29     all    3,94    0,00    8,87   10,84    0,00   13,30    0,00    0,00    0,00   63,05
23:44:30     all    5,42    0,00    5,91    0,00    0,00   14,78    0,00    0,00    0,00   73,89
23:44:31     all    8,37    0,00    4,93    0,00    0,00   13,79    0,00    0,00    0,00   72,91
23:44:32     all    5,97    0,00    8,46    0,00    0,00   16,42    0,00    0,00    0,00   69,15
23:44:33     all    5,83    0,00   10,19    0,00    0,00   16,50    0,00    0,00    0,00   67,48
